word,common_mean,pronunciation,more_mean,definition,synonyms,example
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","For more than a mile the beach was littered with wrecked ships, including debris from the steamer Curaca which was thrown across the full width of the narrows.; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; Sailing ships, and later steamers , played a vital part in South Australia's History.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins.; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; Piers were built to serve sailing vessels and steamers from across the bay.; When sailing ships were replaced by steamers and liners, the heavy ropes were no longer in high demand.; Most of launches, steamers and other vessels lack mechanical steering and still have manual steering systems that are a century old.; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; Again varies, ranging from requiring a full UK suit in winter to a 5mm steamer or even a shortie wetsuit in summer.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River."
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,ইস্পাতের,Ispātēra śīrṣasthānē,None,None,None,None
STRONG HEAT,শক্ত হিট,Śakta hiṭa,"[noun]{ ঝাঁজ: strong heat, acridity; ঝাঁঝ: cymbals, strong heat, acridity; ",None,None,None
SLIPPAGE,স্লিপেজ,Slipēja,None,[noun]{ 1: the action or process of something slipping or subsiding; the amount or extent of this. ($16 million has been spent on cracks and slippage) },None,"But in recent years there's been serious slippage , enough to call a trend.; The experience of defence equipment procurement in the UK since the second world war is a story liberally strewn with cost overruns and timetable slippages , often on a massive scale.; We hope, if there is any slippage , we can be included in the first round and we feel we should be a priority in the second round.; The registration process creates slippage : each of the four colors, plus black, are printed over one another.; The aftermath of a terrorist attack is the riskiest time for such slippages .; In a shower, be sure to have a bath mat to prevent slippage .; If further slippages occur in November and December, it would be a cause for attention.; Any slippage in tax collections can worsen the situation.; There is a strong emphasis on low direct tax rates and, notwithstanding a couple of years of slippage , firm control over government spending.; Any slippage in that timetable they think will be a huge victory for the insurgents and send exactly the wrong message.; However, if changes, created either by slippages or by nucleotide substitutions, were seen in the sequence included in any of the indels, then the number of such changes was also counted and included in the analysis.; $16 million has been spent on cracks and slippage; In a competitive market, the rest will follow to ensure there ‘is no slippage in their market position’, he said.; Well, at this point they're succeeding pretty well, because we have not seen any slippage on the part of the Democrats.; It is estimated a further £30 million will be needed to prevent further slippages along the entirety of the seafront.; Any further slippage of the fiscal deficit in the medium term could lower the nation's stable credit outlook.; The traction-control system works well, and is intentionally toned down to allow some slippage through the corners.; She provided an example: In some organizations, slippages in a work schedule are acceptable, as long as there's a reasonable explanation.; You walk right by the edge, vertical drops for the vertigo-challenged, stepping round recent cliff slippages .; These included streamlining training practices and eliminating slippages in deliveries.; The slippage caused physical damage, delays, and consequential losses, and necessitated extensive remedial works.; So there has understandably been some slippage , but so far the American people generally, unlike the press, aren't panicking.; The plan also involves strengthening measures for the bank, which slopes down to Markievicz Road, where there has been slippage .; An adaptive building must allow slippage between each layer, or the slow layers block flow of quick, and quick layers tear up the slow.; But these are all slippages easily repaired with firm editorial control’.; Despite the concerns, however, some stockbrokers have been advising clients to take advantage of the recent slippage in share prices to add to existing holdings.; He didn't have any advice for keeping the feathers equally spread throughout the quilt all night though, apparently even those quilted into squares suffer from feather slippage .; Major slippages in body condition can lead to undesirable further problems next year.; On the timing of the move, a degree of slippage from the original end - 1996 target date originally set by McCreevy is hinted at.; No matter how thin the grates, major slippage is bound to occur."
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,দারোগা,Dārōgā,"[ ]{ অবরপরিদর্শক: sub-inspector; } [noun]{ দারোগা: inspector, sub-inspector, assistant sub-inspector; ",None,None,None
SOFTEN,গলা,Galā,"[verb]{ গলা: soften, thaw, melt, fuse, pass, decompose; গলান: flux, thaw, soften, melt, fuse, decompose; নরম করা: soften, milden, gentle, mollify, attenuate; তরল করা: liquefy, make fluid, dilute, water down, melt, soften; মন গলা: soften; } [ ]{ কোমল: soften, velvety, Gentle, lily, womanish, pulpy; মৃদু: Gentle, kindly, low-pitched, soften; ",[verb]{ 1: make or become less hard. (plant extracts to soften and moisturize the skin) 2: make or become less severe. (some Democrats tried to soften the blow by substituting a smaller cut in the property tax rate) 3: remove mineral salts from (water). (Observations have shown increased copper levels in water softened with ion exchange water softeners.) },"[verb]{ alleviate, ease, relieve, soothe, take the edge off, assuage, cushion, moderate, mitigate, palliate, diminish, blunt, deaden, die down, abate, subside, moderate, let up, calm, diminish, slacken, weaken, yield, relent, buffer, cushion, damp, weaken, break, dampen, mince, moderate}","Meanwhile, he'll dip the bun in water, letting it soften before consuming it.; To soften the water, the maid Kikuno would enter the tub first to ‘massage or knead the water’.; Hard water can be softened with the addition of a handful of washing soda (available from supermarkets) to the wash and rinse cycles.; sales could soften if the economy turns down; Some consumers are concerned that drinking softened water will increase the level of sodium in their diet.; Think, too, about how a peaceful gesture in the midst of a time of conflict can help defuse tension and soften someone's heart.; Louis turned around swiftly, his hard dangerous expression softening slightly at her poor sight.; This softens the water a little and is fine because of the tap water I have.; The most common way to soften household water is to use a water softener.; Christopher turned away and ascended the stairs, his expression softening to a different smile as the door opened to reveal Sara's bright face and slender form.; He realizes that his leave has softened him, and that he is about to fall apart.; Then she looked back to Christopher, her expression softening .; Apply the solution to the brick; allow it to soften paint; and remove with scraper and stiff bristle brush.; These folks are his friends, after all; they'll heed his call, possibly after he's softened them up with flattery.; While the fruit is softening , boil up the pips to extract their pectin, and strain their juice into the pan while still hot (it will turn to jelly if allowed to cool).; Something sharp and dangerous transformed his face, his expression going from that of a parent trying to soften a blow to a dark anger.; Her expression immediately softened at the sight of me but turned hard once more after spotting the Old English sheepdog.; Water softeners are sometimes a hidden source of sodium in your water at home - although cold water often isn't softened .; Cooking softens the hemicellulose of vegetables, allowing the nutrients that are present in the food to be more accessible for digestion.; Jessica's stony expression softens and she stares at the ground for a moment.; After softening you up, they drag you en masse to the door.; If you are using leaf gelatin, put the sheets in cold water to soften .; I have a feeling they will try and soften us up with artillery before they attack again.; Mack admitted, his face softening into a vulnerable expression.; Harriette's expression of resolve softened , and she reached out and cupped Marguerite's chin in a motherly fashion.; Upon seeing Aerin's face, his own expression and tone softened .; But what you should try and find out about is what kind of agents have been added to harden or soften the tap water, as it affects the taste.; He also looked exceedingly miserable, an expression which softened only in the slightest at the sight of the coffee.; He simply figured their time apart had softened her a little.; This altruism softened the character enough to make him watchable, but he remained someone you would never wish to meet."
STODGE,ভারি খাবার,Bhāri khābāra,[ ]{ ভারি খাবার: stodge; কল্পনাশক্তিহীন ব্যক্তি: stodge; নীরস কাজ: stodge; গাণ্ডেপিণ্ডে গেলানো: stodge; ,"[noun]{ 1: food that is heavy, filling, and high in carbohydrates. (she ate her way through a plateful of stodge) 2: dull and uninspired material or work. (Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.) }",None,"Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.; Most importantly, muffins are not the lardy stodge capsules full of chocolate chips and alien berries which appear to have invaded our shores from America over the last few years.; If it's stodge and solace you need, then the hearty Scottish breakfast will do the job.; she ate her way through a plateful of stodge; I've noticed the return of a familiar tightness in the belt area over the past few weeks, which might not be entirely unrelated to the amount of cold-weather stodge that I've been eating recently.; Walking off all this stodge doesn't really involve a tour of Helsinki's historical sites, galleries or museums.; For supper tonight, three-quarters of us will be eating mainly stodge - a pile of carbohydrates.; There is much said about how thick or thin a risotto should be, it should be just as you like it, but not a lump of over-cooked stodge .; In the winter it is more probable we will eat up our stodge , whatever the slight change in temperature.; Compared with the stodge of American papers, their sheer inertness, what's on offer in England never fails to amaze me.; The cravings for stodge and carbohydrates are an infallible indicator that cold weather has arrived.; A former army chef has been drafted in to work with schools around the area, to see what can be done to make school dinners, traditionally that byword for stodge , more nutritious.; This is comfort food at its best, whether you crave warmth, sweetness and stodge or simply want to feed your nostalgia.; In the evening, with the group left to its own devices for once, we have our first disappointing meal, consisting mainly of flavourless stodge floating in vast amounts of grease.; Offer this stodge to people before dinner and they'll eat it.; she ate her way through a plateful of stodge; This time, he put together a menu that was all his own: it was very British food, but executed without a hint of stodge .; There's plenty of good stodge on the menu, including favourites such as scampi, macaroni cheese, sausages, lasagne, steak and hand-cut chips.; Imagine stodge in the middle of August, when all you want is a dainty cucumber sandwich and a bowl of strawberries before skipping off for a game of tennis.; Memories of over-priced stodge from white vans are more than enough to make even the staunchest burger lover lose his appetite.; Toddlers, whose television-watching and eating habits are decided for them, are less susceptible to the lure of marketing men than their parents, who were themselves raised on a diet of stodge .; Having endured the worst of American food for the best part of our holiday, with huge portions of inedible, sugar-laden stodge , this was the straw that broke the camel's back.; If you're poor in this world, this is how you get your daily energy: a big pile of carbohydrates with a tiny amount of proteins, fats, spice or salt to leaven the stodge .; From the bruschetta and garlic bread starters to the pizza and pasta main courses, they were all satiating themselves on stodge ."
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; Again varies, ranging from requiring a full UK suit in winter to a 5mm steamer or even a shortie wetsuit in summer.; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; Piers were built to serve sailing vessels and steamers from across the bay.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; For more than a mile the beach was littered with wrecked ships, including debris from the steamer Curaca which was thrown across the full width of the narrows.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; When sailing ships were replaced by steamers and liners, the heavy ropes were no longer in high demand.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; Over the first two months of 1916, the Moewe captured or sank 15 merchant steamers , a total tonnage of 57,835.; The whole thing was cooked into a sort of cake in the steamer .; A few coastal companies began with sailing ships, while others did so with steamers .; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; Sailing ships, and later steamers , played a vital part in South Australia's History.; Most of launches, steamers and other vessels lack mechanical steering and still have manual steering systems that are a century old.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees."
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,ইস্পাতের,Ispātēra śīrṣasthānē,None,None,None,None
STRONG HEAT,শক্ত হিট,Śakta hiṭa,"[noun]{ ঝাঁজ: strong heat, acridity; ঝাঁঝ: cymbals, strong heat, acridity; ",None,None,None
SLIPPAGE,স্লিপেজ,Slipēja,None,[noun]{ 1: the action or process of something slipping or subsiding; the amount or extent of this. ($16 million has been spent on cracks and slippage) },None,"You walk right by the edge, vertical drops for the vertigo-challenged, stepping round recent cliff slippages .; Well, at this point they're succeeding pretty well, because we have not seen any slippage on the part of the Democrats.; £16 million has been spent on cracks and slippage; He didn't have any advice for keeping the feathers equally spread throughout the quilt all night though, apparently even those quilted into squares suffer from feather slippage .; Work on the clean up of the local graveyard was suspended last week as fears of further slippages grew but the positioning of special fencing has raised hopes that work may resume this week.; Mrs Smyth was worried residents would have had to move into emergency housing over Christmas because of heightened fears about the level of slippage .; The New Walton Pier Company, which owns the site, told hut owners their huts would have to be removed for urgent safety work to be carried out due to land slippage .; Any further slippage of the fiscal deficit in the medium term could lower the nation's stable credit outlook.; This process is called mitotic slippage and yields tetraploid 4N cells.; There is a strong emphasis on low direct tax rates and, notwithstanding a couple of years of slippage , firm control over government spending.; We can only estimate the relative expansion slippage rates and contraction slippage rates compared to the point mutation rate.; Microsatellite lengths change over evolutionary time through a process of replication slippage .; There are other signs of slippage in anti-tobacco efforts.; The slippage has worried residents in the suburb, where more than 100 homes were inundated in the floods of November, 2000.; But in recent years there's been serious slippage , enough to call a trend.; The traction-control system works well, and is intentionally toned down to allow some slippage through the corners.; Despite the concerns, however, some stockbrokers have been advising clients to take advantage of the recent slippage in share prices to add to existing holdings.; These included streamlining training practices and eliminating slippages in deliveries.; In a competitive market, the rest will follow to ensure there ‘is no slippage in their market position’, he said.; Major slippages in body condition can lead to undesirable further problems next year.; No matter how thin the grates, major slippage is bound to occur.; The experience of defence equipment procurement in the UK since the second world war is a story liberally strewn with cost overruns and timetable slippages , often on a massive scale.; Any slippage in tax collections can worsen the situation.; It is estimated a further £30 million will be needed to prevent further slippages along the entirety of the seafront.; She provided an example: In some organizations, slippages in a work schedule are acceptable, as long as there's a reasonable explanation.; But these are all slippages easily repaired with firm editorial control’.; On the timing of the move, a degree of slippage from the original end - 1996 target date originally set by McCreevy is hinted at.; An adaptive building must allow slippage between each layer, or the slow layers block flow of quick, and quick layers tear up the slow.; The aftermath of a terrorist attack is the riskiest time for such slippages .; The registration process creates slippage : each of the four colors, plus black, are printed over one another."
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,দারোগা,Dārōgā,"[ ]{ অবরপরিদর্শক: sub-inspector; } [noun]{ দারোগা: inspector, sub-inspector, assistant sub-inspector; ",None,None,None
